cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-color-below-ring,stalk-color-above-ring,stalk-color-below-ring.1,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,edible
x,y,g,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,y,d
f,f,g,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,v,p
f,f,g,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,y,p
x,f,e,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,v,d
x,s,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g
f,s,w,t,f,f,c,b,h,t,b,f,f,w,w,p,w,o,p,h,s,g
k,s,n,f,s,f,c,n,b,t,,s,s,w,w,p,w,o,e,w,v,d
x,y,n,f,f,f,c,n,b,t,,s,s,p,w,p,w,o,e,w,v,l
f,s,b,t,f,f,c,b,p,t,b,s,f,w,w,p,w,o,p,h,s,u
x,s,g,t,f,f,c,b,p,t,b,s,s,w,w,p,w,o,p,h,s,g
x,y,e,f,f,f,c,n,b,t,,k,k,w,w,p,w,o,e,w,v,l
x,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g
x,s,b,t,f,f,c,b,h,t,b,s,s,w,w,p,w,o,p,h,v,g
f,f,g,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,v,d
b,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g
f,y,n,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,v,d
k,f,w,f,n,f,w,b,p,e,,s,k,w,w,p,w,t,p,w,n,g
x,f,p,f,c,f,c,n,n,e,b,s,s,w,w,p,w,o,p,k,s,d
f,y,y,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,y,p
f,s,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,a,g
f,f,g,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,v,g
f,s,n,f,s,f,c,n,b,t,,s,k,w,p,p,w,o,e,w,v,d
x,f,n,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,s,g
x,y,e,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,v,d
x,f,w,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,a,g
k,y,p,t,n,f,c,b,e,e,,s,s,w,w,p,w,t,e,w,c,w
f,y,g,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,d
x,f,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g
k,s,e,f,s,f,c,n,b,t,,s,s,w,p,p,w,o,e,w,v,l
x,y,g,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,v,g
x,s,g,t,f,f,c,b,p,t,b,f,f,w,w,p,w,o,p,h,v,u
k,s,e,f,y,f,c,n,b,t,,s,k,w,p,p,w,o,e,w,v,d
f,f,y,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,g
f,f,n,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,y,d
x,s,n,f,y,f,c,n,b,t,,s,k,p,p,p,w,o,e,w,v,p
f,s,e,f,f,f,c,n,b,t,,k,k,p,p,p,w,o,e,w,v,l
